time,open,high,low,close,volume,trade
2017-11-29,466.17000000,515.00000000,385.00000000,421.70000000,51313.49571000,23825.39377000
2017-11-30,421.92000000,460.00000000,387.01000000,427.43000000,45184.22265000,24018.42012000
2017-12-01,428.05000000,465.97000000,413.74000000,457.51000000,33072.21995000,19043.24922000
2017-12-02,457.53000000,471.91000000,445.00000000,457.63000000,25796.14000000,12336.59141000
2017-12-03,457.31000000,485.90000000,440.11000000,460.30000000,24490.05997000,12239.10293000
2017-12-04,460.30000000,470.98000000,445.00000000,466.67000000,23182.65949000,11708.14715000
2017-12-05,466.66000000,468.67000000,445.21000000,452.26000000,25387.11695000,12902.22244000
2017-12-06,452.26000000,455.10000000,400.00000000,411.01000000,38638.76036000,16000.21644000
2017-12-07,413.50000000,427.61000000,375.01000000,406.33000000,41343.73269000,17174.99356000
2017-12-08,406.52000000,456.78000000,390.00000000,442.56000000,41064.60305000,17149.63290000
2017-12-09,442.56000000,488.00000000,426.40000000,460.00000000,41918.34044000,20439.87165000
2017-12-10,460.00000000,460.05000000,403.20000000,427.35000000,34919.25938000,15317.92712000
2017-12-11,427.35000000,512.00000000,427.35000000,508.70000000,29763.16644000,14163.91481000
2017-12-12,508.44000000,639.27000000,494.89000000,620.00000000,59387.02259000,30066.72168000
2017-12-13,622.00000000,705.69000000,539.93000000,683.99000000,57694.18773000,28508.57887000
2017-12-14,683.98000000,747.60000000,630.50000000,679.76000000,60919.26902000,30685.47276000
2017-12-15,679.76000000,689.00000000,594.60000000,674.95000000,39778.16165000,17125.09695000
2017-12-16,673.75000000,712.00000000,669.22000000,682.81000000,26866.05330000,12518.18939000
2017-12-17,681.80000000,728.00000000,680.33000000,707.64000000,31398.44760000,16831.51917000
2017-12-18,707.62000000,798.88000000,638.00000000,784.00000000,45673.70777000,25894.22216000
2017-12-19,784.00000000,864.90000000,729.01000000,798.00000000,69423.62125000,35335.29681000
2017-12-20,798.00000000,828.00000000,661.00000000,790.21000000,72526.28416000,31819.17997000
2017-12-21,794.62000000,845.99000000,705.98000000,782.41000000,78222.53998000,42391.62500000
2017-12-22,784.00000000,796.00000000,504.99000000,635.97000000,154630.49482000,72411.90221000
2017-12-23,635.15000000,714.99000000,627.97000000,640.34000000,79001.05634000,42804.08114000
2017-12-24,640.33000000,667.64000000,563.49000000,658.00000000,95431.94156000,46121.82453000
2017-12-25,659.40000000,744.00000000,599.99000000,714.95000000,78544.84102000,43032.95930000
2017-12-26,713.12000000,750.00000000,712.56000000,750.00000000,60052.47905000,31422.67790000
2017-12-27,750.00000000,766.05000000,693.18000000,739.89000000,51339.27820000,25938.69371000
2017-12-28,739.89000000,744.93000000,645.88000000,707.89000000,72679.61288000,35865.49648000
2017-12-29,709.50000000,757.87000000,703.00000000,733.99000000,64028.12647000,31777.71602000
2017-12-30,732.90000000,735.00000000,635.82000000,681.06000000,89879.99994000,41572.44573000
2017-12-31,680.01000000,740.00000000,672.86000000,733.98000000,62628.24458000,32109.79685000
